,005930.KS,009540.KS,034020.KS,105560.KS,005380.KS,005490.KS,207940.KS,090430.KS,035420.KS
2019-11-14,45023.60546875,109679.0546875,5126.9697265625,31289.994140625,96563.3515625,172691.46875,601708.3125,177279.09375,174561.5625
2019-11-15,45791.05078125,111578.265625,5108.97998046875,31289.994140625,97338.953125,175831.34375,605511.8125,180623.984375,168257.9375
2019-11-18,45620.515625,110628.6640625,5144.958984375,31504.80078125,97726.7578125,178578.71875,611597.3125,175367.71875,173106.84375
2019-11-19,45620.515625,110153.8671875,5090.99072265625,32149.21875,96951.140625,177008.8125,607033.1875,173934.21875,165348.5625
2019-11-20,44341.4375,110153.8671875,4920.091796875,32901.03515625,96563.3515625,174653.890625,607793.875,172978.53125,164378.796875
2019-11-21,43488.7109375,109679.0546875,4812.15576171875,32686.23046875,96563.3515625,173083.96875,594862.0625,175845.59375,164863.6875
2019-11-22,44000.34375,109204.2578125,4794.166015625,33080.0390625,95787.734375,172691.46875,585733.75,176323.40625,162439.21875
2019-11-25,44170.8984375,111103.4609375,4848.13427734375,32972.6328125,96951.140625,178971.1875,594862.0625,178234.796875,168742.8125
2019-11-26,44170.8984375,115376.671875,4938.0810546875,32829.4296875,95012.1328125,183288.484375,591819.3125,172500.6875,167773.03125
2019-11-27,44511.9765625,115851.46875,4911.09716796875,33008.43359375,95787.734375,182895.96875,603990.4375,177279.09375,167288.15625
2019-11-28,43744.52734375,115851.46875,4965.0654296875,33330.6484375,96175.53125,182503.515625,607033.1875,183013.203125,167773.03125
2019-11-29,42891.8046875,113952.265625,4911.09716796875,32972.6328125,93848.703125,180933.578125,598665.5625,180623.984375,166803.25
2019-12-02,42977.0859375,115376.671875,5001.0439453125,32901.03515625,94236.5078125,182111.046875,593340.6875,183968.875,166318.375
2019-12-03,42550.72265625,114901.875,4947.07568359375,32829.4296875,94236.5078125,181326.0625,599426.25,185402.390625,166803.25
2019-12-04,42166.9921875,113952.265625,4848.13427734375,32972.6328125,94624.328125,178186.1875,595622.8125,182057.515625,169227.71875
2019-12-05,42209.6328125,116326.28125,4767.18212890625,33402.25390625,91521.8828125,179756.109375,602469.0,177756.953125,165348.5625
2019-12-06,42977.0859375,115376.671875,4731.20361328125,33652.85546875,91909.6796875,180933.578125,600947.625,180146.171875,168742.8125
2019-12-09,43659.26171875,114901.875,4740.1982421875,34404.6640625,92685.3046875,182895.96875,590297.9375,177756.953125,169712.609375
2019-12-10,43915.07421875,115851.46875,4776.1767578125,34583.67578125,93073.109375,181718.53125,593340.6875,183968.875,169227.71875
2019-12-11,44256.171875,116801.078125,4803.1611328125,34368.875,92297.4921875,181326.0625,591819.3125,184446.703125,168742.8125
2019-12-12,45449.97265625,116801.078125,5019.033203125,34619.4765625,93073.109375,184858.421875,593340.6875,185880.234375,170197.515625
2019-12-13,46643.78515625,118700.28125,4920.091796875,35800.90625,93848.703125,190745.609375,602469.0,186835.921875,170197.515625
2019-12-16,46643.78515625,118700.28125,5001.0439453125,35120.69921875,92297.4921875,190353.125,600947.625,183968.875,174076.65625
2019-12-17,48349.2109375,119175.078125,4911.09716796875,34333.0703125,94624.328125,194277.921875,600947.625,185402.390625,175046.4375
2019-12-18,48008.140625,117750.671875,4920.091796875,35371.29296875,95399.921875,195062.9375,600186.9375,189225.15625,173106.84375
2019-12-19,47752.31640625,119649.8828125,5108.97998046875,35371.29296875,95787.734375,193493.015625,601708.3125,191136.5,173591.75
