ticker,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,exit_reason
009540.KS,2019-12-20,2020-01-03,8,119175.0,122974.0,3.19,secretary_trigger
034020.KS,2020-01-23,2020-01-30,4,5523.0,5046.0,-8.63,stop_loss
090430.KS,2020-02-24,2020-03-11,13,166179.0,152731.0,-8.09,stop_loss
009540.KS,2020-03-10,2020-03-13,4,91447.0,76823.0,-15.99,stop_loss
009540.KS,2020-03-13,2020-03-18,4,76823.0,68276.0,-11.12,stop_loss
090430.KS,2020-03-11,2020-03-20,8,152731.0,158974.0,4.09,secretary_trigger
009540.KS,2020-03-18,2020-04-02,12,68276.0,75303.0,10.29,secretary_trigger
005490.KS,2020-05-14,2020-05-27,10,135322.0,147002.0,8.63,secretary_trigger
090430.KS,2020-05-04,2020-06-01,20,167620.0,159455.0,-4.87,force_liquidate
034020.KS,2020-05-21,2020-06-02,9,3701.0,4371.0,18.1,secretary_trigger
005380.KS,2020-05-26,2020-06-05,9,77759.0,88254.0,13.5,secretary_trigger
009540.KS,2020-06-01,2020-06-26,20,87553.0,84325.0,-3.69,force_liquidate
005930.KS,2020-06-02,2020-06-29,20,44437.0,45605.0,2.63,force_liquidate
090430.KS,2020-08-11,2020-09-08,20,167139.0,163297.0,-2.3,force_liquidate
009540.KS,2020-09-07,2020-09-24,14,83470.0,73784.0,-11.6,stop_loss
207940.KS,2020-10-22,2020-11-02,8,1001072.0,1061928.0,6.08,secretary_trigger
090430.KS,2020-11-18,2020-12-09,16,180587.0,208444.0,15.43,secretary_trigger
005380.KS,2020-11-26,2020-12-23,20,142319.0,147090.0,3.35,force_liquidate
035420.KS,2021-01-08,2021-01-21,10,303639.0,313858.0,3.37,secretary_trigger
034020.KS,2021-01-28,2021-02-04,6,12141.0,11085.0,-8.7,stop_loss
034020.KS,2021-02-04,2021-02-24,13,11085.0,9837.0,-11.26,stop_loss
034020.KS,2021-02-24,2021-03-12,12,9837.0,10893.0,10.73,secretary_trigger
105560.KS,2021-03-05,2021-03-26,16,36652.0,41486.0,13.19,secretary_trigger
009540.KS,2021-03-11,2021-03-26,12,109204.0,125348.0,14.78,secretary_trigger
005490.KS,2021-03-02,2021-03-29,20,235868.0,270627.0,14.74,secretary_trigger
005930.KS,2021-04-16,2021-05-14,20,75653.0,72226.0,-4.53,force_liquidate
005380.KS,2021-06-01,2021-06-28,20,191465.0,194697.0,1.69,force_liquidate
009540.KS,2021-07-08,2021-07-21,10,119650.0,121549.0,1.59,secretary_trigger
005490.KS,2021-08-05,2021-08-19,10,290616.0,264850.0,-8.87,stop_loss
090430.KS,2021-07-29,2021-08-26,20,220850.0,212652.0,-3.71,force_liquidate
005380.KS,2021-08-19,2021-08-31,9,167520.0,172388.0,2.91,secretary_trigger
005490.KS,2021-08-27,2021-09-07,8,266117.0,304556.0,14.44,secretary_trigger
009540.KS,2021-09-09,2021-10-01,14,103032.0,92111.0,-10.6,stop_loss
005490.KS,2021-10-01,2021-10-14,8,277861.0,280863.0,1.08,secretary_trigger
035420.KS,2021-10-12,2021-10-21,8,362032.0,399500.0,10.35,secretary_trigger
207940.KS,2021-10-13,2021-10-22,8,1261229.0,1338820.0,6.15,secretary_trigger
009540.KS,2021-10-18,2021-10-27,8,90972.0,99233.0,9.08,secretary_trigger
090430.KS,2021-10-12,2021-11-08,20,168289.0,179862.0,6.88,force_liquidate
207940.KS,2021-11-10,2021-11-19,8,1247537.0,1357077.0,8.78,secretary_trigger
005380.KS,2021-11-05,2021-11-22,12,174416.0,177255.0,1.63,secretary_trigger
009540.KS,2021-11-26,2021-12-07,8,88693.0,92681.0,4.5,secretary_trigger
005490.KS,2021-11-29,2021-12-08,8,226834.0,248703.0,9.64,secretary_trigger
035420.KS,2021-11-17,2021-12-14,20,390254.0,381496.0,-2.24,force_liquidate
005930.KS,2021-12-06,2021-12-22,13,69433.0,72254.0,4.06,secretary_trigger
005380.KS,2021-12-09,2021-12-24,12,167926.0,174821.0,4.11,secretary_trigger
207940.KS,2021-12-09,2022-01-06,19,1393590.0,1274922.0,-8.52,stop_loss
005490.KS,2022-01-11,2022-01-24,10,261898.0,239636.0,-8.5,stop_loss
035420.KS,2022-01-05,2022-01-25,15,345947.0,313788.0,-9.3,stop_loss
005380.KS,2021-12-28,2022-01-26,20,173605.0,160791.0,-7.38,force_liquidate
090430.KS,2022-01-25,2022-02-10,10,145954.0,173108.0,18.6,secretary_trigger
035420.KS,2022-01-25,2022-02-10,10,313788.0,323046.0,2.95,secretary_trigger
034020.KS,2022-02-04,2022-02-14,7,18050.0,15600.0,-13.57,stop_loss
009540.KS,2022-02-08,2022-02-24,13,78152.0,82331.0,5.35,secretary_trigger
034020.KS,2022-02-14,2022-02-25,10,15600.0,18900.0,21.15,secretary_trigger
207940.KS,2022-02-15,2022-03-02,11,1125826.0,1180828.0,4.89,secretary_trigger
035420.KS,2022-02-24,2022-03-14,11,294786.0,320610.0,8.76,secretary_trigger
005490.KS,2022-03-14,2022-03-23,8,250549.0,267572.0,6.79,secretary_trigger
005380.KS,2022-02-24,2022-03-25,20,143017.0,143844.0,0.58,force_liquidate
035420.KS,2022-04-01,2022-04-12,8,326944.0,300633.0,-8.05,stop_loss
